TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%;Comment
1769365281987;1;1;tpc-di;10000.0;12;pdgf.core.dataGenerator.worker.UpdateRowWorker#worker#9;3836984000;3711200000;2;5000000;10694;2600000000;6441984000;59.562;37.553;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.CustomerAccountBlackBox$CustomerAccountUpdateProducer#ALL;2559000;2184000;0;0;0;0;2559000;100.0;1.024;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.CustomerAccountBlackBox$CustomerAccountUpdateProducer#Account;1294000;1088000;0;0;0;0;1294000;100.0;1.012;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.MergeUpdateBlackBox$MergeUpdateProducer#FINWIRE;54984000;40634000;0;0;240;17000000;71984000;76.384;1.524;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.TradeSourceUpdateBlackBox$TradeSourceUpdateProducer#ALL;240074000;145605000;0;0;2982;25000000;265074000;90.569;3.287;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.TradeSourceUpdateBlackBox$TradeSourceUpdateProducer#TradeSource;221577000;134390000;0;0;2982;25000000;246577000;89.861;3.111;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtScheduler#CustomerMgmt;79271000;55156000;0;0;110;0;79271000;100.0;1.755;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#0;200546000;183861000;0;0;1275;595000000;795546000;25.209;2.911;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#1;59641000;49277000;0;0;1366;736000000;795641000;7.496;1.568;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#10;36813000;30098000;1;0;1212;784000000;820813000;4.485;1.351;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#11;123020000;107529000;0;0;1187;689000000;812020000;15.15;2.172;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#2;28923000;20988000;0;0;1279;793000000;821923000;3.519;1.276;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#3;52963000;42962000;0;0;1239;758000000;810963000;6.531;1.505;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#4;108170000;91370000;0;0;1250;669000000;777170000;13.918;2.03;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#5;73691000;60471000;0;0;1258;705000000;778691000;9.463;1.702;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#6;28526000;21253000;0;0;1266;793000000;821526000;3.472;1.272;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#7;44637000;35995000;0;0;1238;773000000;817637000;5.459;1.425;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#8;33426000;26125000;0;0;1252;781000000;814426000;4.104;1.318;
1769365281987;1;1;tpc-di;10000.0;12;tpc.di.scheduler.CustomerMgmtUpdateRowWorker#worker#9;44634000;36760000;0;0;1235;767000000;811634000;5.499;1.425;
